date;open;high;low;close;volume
20140824;000000;181.9000000;181.9000000;181.9000000;181.9000000;0
20140825;000000;181.8000000;181.8000000;181.8000000;181.8000000;0
20140826;000000;181.9000000;181.9000000;181.8000000;181.8000000;0
20140827;000000;182.0000000;182.0000000;181.8000000;182.0000000;0
20140829;000000;182.0500000;182.0500000;182.0500000;182.0500000;0
20140901;000000;181.9000000;181.9000000;181.9000000;181.9000000;0
20140902;000000;181.8500000;181.8500000;181.8500000;181.8500000;0
20140903;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140905;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140908;000000;182.0000000;182.0000000;181.9800000;181.9800000;0
20140910;000000;181.8000000;181.8000000;181.8000000;181.8000000;0
20140911;000000;181.9800000;181.9800000;181.9800000;181.9800000;0
20140914;000000;181.8000000;181.8000000;181.8000000;181.8000000;0
20140915;000000;181.9000000;181.9000000;181.9000000;181.9000000;0
20140924;000000;181.8500000;181.8500000;181.8500000;181.8500000;0
20140929;000000;181.8500000;181.8500000;181.8500000;181.8500000;0
20141006;000000;181.8000000;181.8000000;181.8000000;181.8000000;0
20141013;000000;181.8500000;181.8500000;181.8000000;181.8000000;0
20141014;000000;181.7500000;181.7500000;181.7500000;181.7500000;0
20141020;000000;182.1000000;182.1000000;181.8000000;181.8000000;0
20141022;000000;181.1500000;181.1500000;181.1500000;181.1500000;0
20141024;000000;180.9000000;180.9000000;180.9000000;180.9000000;0
20141027;000000;181.8500000;181.8500000;180.8800000;180.8800000;0
20141028;000000;180.9500000;180.9500000;180.9500000;180.9500000;0
20141029;000000;180.8500000;180.8800000;180.8500000;180.8800000;0
20141030;000000;180.8800000;180.8800000;180.8800000;180.8800000;0
20141031;000000;180.8500000;181.0000000;180.8500000;181.0000000;33
20141103;000000;181.0000000;181.0000000;180.9000000;180.9000000;44
20141104;000000;180.9000000;180.9000000;180.8500000;180.8500000;47
20141105;000000;180.8500000;180.8500000;180.8500000;180.8500000;54
20141106;000000;180.8500000;180.8800000;180.8500000;180.8800000;58
20141107;000000;180.8800000;180.9500000;180.8500000;180.9500000;66
20141108;000000;180.9500000;180.9500000;180.9500000;180.9500000;5
20141110;000000;180.9500000;180.9500000;180.9000000;180.9000000;52
20141111;000000;180.9000000;180.9000000;180.9000000;180.9000000;73
20141112;000000;180.9000000;180.9000000;180.8500000;180.8500000;71
20141113;000000;180.8500000;180.9500000;180.8500000;180.9500000;57
20141114;000000;180.9500000;181.0000000;180.9500000;181.0000000;71
20141115;000000;181.0000000;181.0000000;181.0000000;181.0000000;6
20141116;000000;181.0000000;181.0000000;181.0000000;181.0000000;1
20141117;000000;181.0000000;181.0000000;180.9500000;180.9500000;82
20141118;000000;180.9500000;180.9500000;180.9000000;180.9000000;76
20141119;000000;180.9000000;180.9500000;180.9000000;180.9500000;70
20141120;000000;180.9500000;181.0500000;180.9500000;181.0500000;78
20141121;000000;181.0500000;181.0800000;181.0500000;181.0800000;59
20141122;000000;181.0800000;181.0800000;181.0800000;181.0800000;4
20141124;000000;181.0800000;181.0800000;181.0500000;181.0500000;34
20141125;000000;181.0500000;181.0500000;180.9000000;180.9000000;75
20141126;000000;180.9000000;180.9300000;180.9000000;180.9300000;65
20141127;000000;180.9300000;180.9300000;180.9300000;180.9300000;25
20141128;000000;180.9300000;181.5000000;180.9300000;181.5000000;32
20141129;000000;181.5000000;181.5000000;181.5000000;181.5000000;5
20141130;000000;181.5000000;181.5000000;181.5000000;181.5000000;3
20141201;000000;181.5000000;181.5000000;181.5000000;181.5000000;76
20141202;000000;181.5000000;181.6500000;181.5000000;181.6500000;97
20141203;000000;181.6500000;181.8800000;181.6500000;181.8800000;40
20141204;000000;181.8800000;181.8800000;181.0000000;181.8800000;63
20141205;000000;181.8800000;181.8800000;181.8000000;181.8000000;67
20141206;000000;181.8000000;181.8000000;181.8000000;181.8000000;5
20141207;000000;181.8000000;181.8000000;181.8000000;181.8000000;4
20141208;000000;181.8000000;182.1800000;181.8000000;182.1800000;59
20141209;000000;182.1800000;182.4500000;182.1800000;182.4500000;58
20141210;000000;182.4500000;182.4500000;181.7000000;181.7000000;79
20141211;000000;181.7000000;181.7000000;181.7000000;181.7000000;78
20141212;000000;181.7000000;182.0000000;181.7000000;182.0000000;74
20141213;000000;182.0000000;182.0000000;182.0000000;182.0000000;5
20141215;000000;182.0000000;183.5000000;182.0000000;183.5000000;51
20141216;000000;183.5000000;183.5000000;183.5000000;183.5000000;75
20141217;000000;183.5000000;183.5000000;183.5000000;183.5000000;71
20141218;000000;183.5000000;183.5000000;182.0500000;182.0500000;64
20141219;000000;182.0500000;182.0500000;182.0000000;182.0000000;57
20141220;000000;182.0000000;182.0000000;182.0000000;182.0000000;2
20141221;000000;182.0000000;182.0000000;182.0000000;182.0000000;2
20141222;000000;182.0000000;182.5500000;182.0000000;182.5500000;66
20141223;000000;182.5500000;182.5500000;182.2500000;182.2500000;81
20141224;000000;182.2500000;182.7500000;182.2500000;182.7500000;28
20141225;000000;182.7500000;182.7500000;182.7500000;182.7500000;13
20141226;000000;182.7500000;182.7500000;182.7500000;182.7500000;28
20141227;000000;182.7500000;182.7500000;182.7500000;182.7500000;4
20141228;000000;182.7500000;182.7500000;182.7500000;182.7500000;2
20141229;000000;182.7500000;182.7500000;182.4500000;182.4500000;53
20141230;000000;182.4500000;182.4500000;182.3000000;182.3000000;45
20141231;000000;182.3000000;182.3000000;182.3000000;182.3000000;48
20150101;000000;182.3000000;182.3000000;182.3000000;182.3000000;7
20150102;000000;182.3000000;182.7500000;182.3000000;182.7500000;43
20150103;000000;182.7500000;182.7500000;182.7500000;182.7500000;7
20150105;000000;182.7500000;183.0000000;182.7500000;183.0000000;47
20150106;000000;183.0000000;183.0000000;183.0000000;183.0000000;74
20150107;000000;183.0000000;183.0000000;183.0000000;183.0000000;53
20150108;000000;183.0000000;183.2000000;183.0000000;183.2000000;58
20150109;000000;183.2000000;183.3500000;183.2000000;183.3500000;54
20150110;000000;183.3500000;183.3500000;183.3500000;183.3500000;7
20150111;000000;183.3500000;183.3500000;183.3500000;183.3500000;2
20150112;000000;183.3500000;183.3500000;183.2000000;183.2000000;56
20150113;000000;183.2000000;183.7000000;183.2000000;183.7000000;60
20150114;000000;183.7000000;183.7300000;183.7000000;183.7300000;62
20150115;000000;183.7300000;183.9000000;183.7300000;183.9000000;70
20150116;000000;183.9000000;184.1000000;183.9000000;184.1000000;51
20150117;000000;184.1000000;184.1000000;184.1000000;184.1000000;5
20150118;000000;184.1000000;184.1000000;184.1000000;184.1000000;4
20150119;000000;184.1000000;184.1000000;183.8800000;183.8800000;43
20150120;000000;183.8800000;183.8800000;183.7500000;183.7500000;50
20150121;000000;183.7500000;184.2500000;183.7500000;184.2500000;64
20150122;000000;184.2500000;184.2500000;184.0500000;184.0900000;114
20150123;000000;184.0900000;184.4000000;184.0900000;184.4000000;82
20150124;000000;184.4000000;184.4000000;184.4000000;184.4000000;10
20150125;000000;184.4000000;184.4000000;184.4000000;184.4000000;1
20150126;000000;184.4000000;184.4000000;184.3000000;184.4000000;84
20150127;000000;184.4000000;184.6000000;184.4000000;184.6000000;41
20150128;000000;184.6000000;184.6000000;184.5500000;184.6000000;68
20150129;000000;184.6000000;184.6000000;184.5800000;184.5800000;71
20150130;000000;184.5800000;184.5800000;184.4000000;184.4000000;69
20150131;000000;184.4000000;184.4000000;184.4000000;184.4000000;5
20150202;000000;184.4000000;184.6000000;184.4000000;184.6000000;99
20150203;000000;184.6000000;184.6000000;184.5500000;184.5500000;103
20150204;000000;184.5500000;184.9000000;184.5500000;184.9000000;96
20150205;000000;184.9000000;184.9000000;184.7000000;184.7000000;71
20150206;000000;184.7000000;185.0500000;184.7000000;185.0500000;51
20150207;000000;185.0500000;185.0500000;185.0500000;185.0500000;8
20150209;000000;185.0500000;185.2000000;185.0500000;185.2000000;57
20150210;000000;185.2000000;185.2000000;185.0000000;185.0000000;73
20150211;000000;185.0000000;185.2000000;185.0000000;185.2000000;58
20150212;000000;185.2000000;185.4300000;185.2000000;185.4300000;57
20150213;000000;185.4300000;185.4500000;185.4300000;185.4500000;53
20150214;000000;185.4500000;185.4500000;185.4500000;185.4500000;6
20150215;000000;185.4500000;185.4500000;185.4500000;185.4500000;1
20150216;000000;185.4500000;185.4500000;185.1000000;185.1000000;45
20150217;000000;185.1000000;185.1500000;185.1000000;185.1500000;52
20150218;000000;185.1500000;185.2000000;185.1500000;185.2000000;79
20150219;000000;185.2000000;185.2000000;185.2000000;185.2000000;64
20150220;000000;185.2000000;185.3500000;185.2000000;185.3500000;42
20150221;000000;185.3500000;185.3500000;185.3500000;185.3500000;7
